run,load,pearson_r,p_value
run_1,MechResistance_Ohm,0.692,0.00e+00
run_1,Power_W,0.788,0.00e+00
run_1,I_Handpiece_mag_A,0.918,0.00e+00
run_1,Z_Handpiece_mag_Ohm,0.927,0.00e+00
run_2,MechResistance_Ohm,0.761,0.00e+00
run_2,Power_W,0.77,0.00e+00
run_2,I_Handpiece_mag_A,0.91,0.00e+00
run_2,Z_Handpiece_mag_Ohm,0.916,0.00e+00
run_3,MechResistance_Ohm,0.799,0.00e+00
run_3,Power_W,0.799,0.00e+00
run_3,I_Handpiece_mag_A,0.921,0.00e+00
run_3,Z_Handpiece_mag_Ohm,0.929,0.00e+00
