cloud,t_rel_s,roi_med_dz,roi_mean_dz,roi_p90_dz,frac_receded,frac_approached,blob_area_mm2,blob_max_dz,vol_signed_mm3
run_1_start(REF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_1_stop,203.4,-0.823,5.174,28.384,0.0,0.0,0.0,0.0,2349.8
run_2_start,294.6,-0.409,-0.669,0.685,0.0,0.0,0.0,0.0,-303.8
run_2_stop,495.6,-0.84,4.596,29.489,0.0,0.0,0.0,0.0,2087.1
run_3_start,605.5,-1.097,-1.519,0.883,0.0,0.0,0.0,0.0,-689.9
run_3_stop,806.0,-0.717,3.524,25.361,0.0,0.0,0.0,0.0,1600.2
