cloud,t_rel_s,icp_fitness,icp_inlier_rmse_mm,diff_median_mm,diff_p95_mm,frac_receded_gt1mm
rescan_1779998232,-81.6,0.399,2.136,-0.353,15.343,0.34
run_1_stop,196.2,0.941,0.973,0.038,1.264,0.078
rescan_1779998566,252.7,0.423,2.11,-0.356,15.468,0.323
rescan_1779998576,263.1,0.423,2.108,-0.324,15.257,0.322
run_2_start,312.2,0.999,0.853,-0.011,1.161,0.07
run_2_stop,515.0,0.938,1.069,-0.002,1.34,0.095
rescan_1779998857,543.3,0.451,2.125,-0.398,15.532,0.308
run_3_start,592.0,0.996,0.959,-0.028,1.199,0.071
run_3_stop,796.9,0.951,1.052,-0.014,1.334,0.087
