timestamp,Frequency_Hz,MechResistance_Ohm,MechCurrent_mag_A,Z_Handpiece_phase_deg,V_Handpiece_mag_V,MechCurrent_phase_deg,Z_Handpiece_mag_Ohm,I_Handpiece_mag_A,Power_W,FreqTrackingQuality,PowerSupplyVoltage,HP_Capacitance_F,FootPedalPos_pct,SucSetting_pct,IrrSetting_mL_per_min,PowSetting_pct,PulseControlState,Irrigation_Actual_ml_per_min,HP_Pressure_psi,Canister_Pressure_psi,time_s
1780343651.6616945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1695117950439453,5.797783851623535,1780343651.6616461
1780343651.667117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1695117950439453,5.797783851623535,1780343651.6666737
1780343651.6716707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1695117950439453,5.797783851623535,1780343651.6716383
1780343651.676683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1695117950439453,5.797783851623535,1780343651.6766455
1780343651.6817746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1695117950439453,5.797783851623535,1780343651.6817224
1780343651.6867714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.6867232
1780343651.6921306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.6920571
1780343651.696787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.6967168
1780343651.701741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7016869
1780343651.706678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7066412
1780343651.7117376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.711691
1780343651.7167168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.716665
1780343651.7217698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.72173
1780343651.7267115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7266705
1780343651.7336402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7335706
1780343651.7367182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.73667
1780343651.7417145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7416568
1780343651.7466898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7466447
1780343651.7520478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7519877
1780343651.7567425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.756687
1780343651.7617075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7616625
1780343651.7667198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7666643
1780343651.77212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.17317795753479,5.817473888397217,1780343651.7716537
1780343651.7766817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.7766445
1780343651.7817316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.7816668
1780343651.7866952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.7866535
1780343651.7917044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.7916627
1780343651.7967243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.7966757
1780343651.801743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.801683
1780343651.806672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8066406
1780343651.8116593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8116217
1780343651.816689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8166523
1780343651.8216753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8216367
1780343651.826671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.826641
1780343651.8336182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8335526
1780343651.8367212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8366704
1780343651.8416893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8416533
1780343651.8466685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8466353
1780343651.8516705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8516393
1780343651.8576095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.1705596446990967,5.766153812408447,1780343651.8575497
1780343651.861713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.861675
1780343651.8667233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.86667
1780343651.871787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.8717318
1780343651.876916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.8768716
1780343651.8817737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.8817103
1780343651.887121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.8867335
1780343651.8921275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.891694
1780343651.8966966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.8966553
1780343651.9017339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9016795
1780343651.9066882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9066472
1780343651.91212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.911673
1780343651.916666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9166307
1780343651.9220707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9220011
1780343651.926706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9266603
1780343651.9316998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9316597
