layer,cloud,incremental_pos_only_mm3,incremental_net_mm3,cumulative_pos_only_mm3,cumulative_net_mm3
Layer 1,run_1_stop,911.0,224.1,911.0,224.1
Layer 2,run_2_stop,788.9,1459.4,1699.9,1683.5
Layer 3,run_3_stop,-404.1,-390.7,1295.8,1292.8
