cloud,t_rel_s,roi_mean_dz_mm,vol_net_mm3,vol_pos_only_mm3,vol_noise_1sig_mm3
run_1_stop,399.0,10.675,4028.7,1520.2,
run_2_start,1115.3,-0.338,-127.6,62.9,
run_2_stop,1513.6,4.62,1743.7,1746.7,
run_3_start,2346.8,-0.684,-258.2,16.2,
run_3_stop,2747.3,3.534,1333.5,1336.4,
