cloud,t_rel_s,roi_med_dz,roi_mean_dz,roi_p90_dz,frac_receded,frac_approached,blob_area_mm2,blob_max_dz,vol_signed_mm3
run_1_start(REF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_1_stop,399.0,-1.41,0.533,1.569,0.0,0.0,0.0,0.0,224.1
run_2_start,1115.3,-0.706,-0.673,0.387,0.0,0.0,0.0,0.0,-282.9
run_2_stop,1513.6,1.983,4.006,4.022,0.0,0.0,0.0,0.0,1683.5
run_3_start,2346.8,-0.598,-1.013,0.45,0.0,0.0,0.0,0.0,-425.9
run_3_stop,2747.3,1.557,3.076,3.566,0.0,0.0,0.0,0.0,1292.8
