cloud,t_rel_s,icp_fitness,icp_inlier_rmse_mm,diff_median_mm,diff_p95_mm,frac_receded_gt1mm
run_1_stop,399.0,0.911,0.965,-0.07,1.215,0.063
run_2_start,1115.3,0.999,0.944,0.205,1.316,0.085
run_2_stop,1513.6,0.905,1.389,-0.217,2.941,0.166
run_3_start,2346.8,0.998,0.94,-0.29,1.493,0.068
run_3_stop,2747.3,0.834,1.592,-0.19,11.267,0.251
